3	It 's a lovely film with lovely performances by Buy and Accorsi .
2	No one goes unindicted here , which is probably for the best .
3	And if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .
4	A warm , funny , engaging film .
4	Uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .
2	Half Submarine flick , Half Ghost Story , All in one criminally neglected film
3	Entertains by providing good , lively company .
4	Dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and Johnny Dankworth 's best soundtrack in years .
4	Visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .
3	Nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative Nine Queens is lots of fun .
4	Unlike the speedy wham-bam effect of most Hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of Italian for Beginners .
3	You 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .
3	The band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) .
3	Although German cooking does not come readily to mind when considering the world 's best cuisine , Mostly Martha could make Deutchland a popular destination for hungry tourists .
4	A beguiling splash of pastel colors and prankish comedy from Disney .
4	As surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .
3	( Lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .
2	The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people .
3	What 's surprising about Full Frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .
3	Whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .
3	... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young Gaghan 's resume .
4	It provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .
3	There 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .
3	It moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the Cold War datedness -- of its premise .
4	A deep and meaningful film .
4	The film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .
4	It 's a remarkably solid and subtly satirical tour de force .
4	Enormously entertaining for moviegoers of any age .
4	A poignant , artfully crafted meditation on mortality .
4	A rarity among recent Iranian films : It 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .
4	Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .
4	In a way , the film feels like a breath of fresh air , but only to those that allow it in .
3	Woody Allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz .
3	It 's a stunning lyrical work of considerable force and truth .
2	The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time .
4	( Næs ) directed the stage version of Elling , and gets fine performances from his two leads who originated the characters on stage .
4	A coda in every sense , The Pinochet Case splits time between a minute-by-minute account of the British court 's extradition chess game and the regime 's talking-head survivors .
